[21:24:04.733] > [DEBUG] >  [ COMMON ] =================================================
[21:24:04.734] > [DEBUG] > 	PORT = [50051]
[21:24:04.734] > [DEBUG] >  [ LOG ] =================================================
[21:24:04.734] > [DEBUG] > 	DIR = [./log]
[21:24:04.734] > [DEBUG] > 	NAME = [grpcWeb]
[21:24:04.734] > [DEBUG] > 	ENCYN = [n]
[21:24:04.735] > [DEBUG] > 	LEVEL = [DEBUG,TRACE,ERROR,WARN,STDOUT]
[21:24:04.735] > [DEBUG] >  [ MYSQL ] =================================================
[21:24:04.735] > [DEBUG] > 	TIMEOUT = [1000]
[21:24:04.735] > [DEBUG] > 	THREAD = [10]
[21:24:04.735] > [DEBUG] > 	CONNECT = []
[21:24:04.735] > [DEBUG] > 	ID = [root]
[21:24:04.736] > [DEBUG] > 	PW = [123qwe]
[21:24:04.738] > [DEBUG] > 	SID = [test]
[21:24:04.738] > [DEBUG] > 	IP = [127.0.0.1]
[21:24:04.739] > [DEBUG] > 	PORT = [3306]
[21:24:04.739] > [DEBUG] >  [ MSSQL ] =================================================
[21:24:04.739] > [DEBUG] > 	PW = [123qwe]
[21:24:04.739] > [DEBUG] > 	SID = [test]
[21:24:04.739] > [DEBUG] > 	IP = [127.0.0.1]
[21:24:04.740] > [DEBUG] > 	PORT = [1433]
[21:24:04.740] > [DEBUG] > 	TIMEOUT = [1000]
[21:24:04.740] > [DEBUG] > 	THREAD = [10]
[21:24:04.741] > [DEBUG] > 	CONNECT = []
[21:24:04.741] > [DEBUG] > 	ID = [root]
[21:24:04.741] > [DEBUG] >  [ ORACLE ] =================================================
[21:24:04.741] > [DEBUG] > 	THREAD = [10]
[21:24:04.741] > [DEBUG] > 	CONNECT = []
[21:24:04.742] > [DEBUG] > 	ID = [root]
[21:24:04.742] > [DEBUG] > 	PW = [123qwe]
[21:24:04.742] > [DEBUG] > 	SID = [test]
[21:24:04.742] > [DEBUG] > 	IP = [127.0.0.1]
[21:24:04.743] > [DEBUG] > 	PORT = [1521]
[21:24:04.743] > [DEBUG] > 	TIMEOUT = [1000]
[21:24:04.743] > [DEBUG] >  [ REDIS ] =================================================
[21:24:04.744] > [DEBUG] > 	SID = [0]
[21:24:04.744] > [DEBUG] > 	IP = [127.0.0.1]
[21:24:04.745] > [DEBUG] > 	PORT = [6379]
[21:24:04.745] > [DEBUG] > 	TIMEOUT = [1000]
[21:24:04.746] > [DEBUG] > 	THREAD = [10]
[21:24:04.746] > [DEBUG] > 	CONNECT = []
[21:24:04.746] > [DEBUG] > 	ID = []
[21:24:04.747] > [DEBUG] > 	PW = []
[21:24:04.747] > [DEBUG] >  [ DEFAULT ] =================================================
